SIDNEY                         => Hi, I'm Sidney. And I love to TEC-9. The popular TEC-9 is advertised by its makers as being tough as the toughest customer.
JACKIE                         => Ordell called and wants to meet me and I'm scared.
MAX                            => We get Ordell to come to my office. Nicolet - is he already there, or does he come busting in while we're chatting?
JACKIE                         => He's already there.
MAX                            => What if he hears something he's not supposed to?
JACKIE                         => Well, we don't let that happen, now do we?
ORDELL                         => What the fuck you doin' knockin on the door like the goddamn police? You lookin' to get shot?
MAX                            => I thought you might be asleep.
ORDELL                         => You keep fuckin' with me, you're gonna be asleep forever.
MAX                            => I'm alone.
ORDELL                         => Git your ass in here.
ORDELL                         => You better freeze, motherfucker!
MAX                            => You want your money? Your bond refund?
ORDELL                         => That's all?
MAX                            => I have a bond receipt for you to sign.
ORDELL                         => You know what the fuck I'm talkin' about. You talk to her?
MAX                            => She wants to give you your money. If she didn't, there'd be cops batter- ramming the door right now.
ORDELL                         => How'd you find me?
MAX                            => Winston found you.
ORDELL                         => How the fuck did he find me?
MAX                            => That's what Winston does. He finds people who don't want to be found.
ORDELL                         => Well, bully for that nigga. You say she wants to give me the money, huh?
MAX                            => Uh-huh.
ORDELL                         => Well, give it to me then.
MAX                            => She wants to give it to you herself and collect her ten percent. She also wants to explain why she had to hold on to it.
ORDELL                         => I'd like to hear that too. Turn around and put your hands on your head.
MAX                            => Jackie didn't trust Melanie. She'd already tried to get Jackie to go in with her, split the half million amongst themselves. What she did was take quite a risk to see you get your money.
ORDELL                         => Lift up your pant leg. You help her?
MAX                            => All I did was walk out with it.
ORDELL                         => And you did that to protect my interest?
MAX                            => In a way, yes.
ORDELL                         => My ass be dumb, but I'm not a dumbass. Go sit over there on the couch.
MAX                            => This place stinks.
ORDELL                         => You get used to it after a while. Now tell me where my money's at.
MAX                            => My office.
ORDELL                         => And where's Jackie?
MAX                            => She's been there since Thursday night.
ORDELL                         => She wanted to see me, why wasn't she home?
MAX                            => She was afraid.
ORDELL                         => That I gotta see.
MAX                            => She still is. She doesn't want to get shot before she can tell you what happened.
ORDELL                         => Have her bring the money here.
MAX                            => It's in the safe. She can't get at it.
ORDELL                         => Call her, tell her the combination.
MAX                            => I'm telling you, you got her spooked. She won't leave there till you have your money and you're gone.
ORDELL                         => You expect me to just walk in there?
MAX                            => If she wanted to set you up, you'd be in custody right now. When you said you'd name her as an accessory she believed you. That scares her more than anything.
ORDELL                         => That's why she's givin' up my money huh? Not that bullshit about Melanie. I didn't trust her ass neither, but I knew how to handle her. She was my blonde-headed little surfer gal. I fuckin' told Louis he could've just given her a punch in the mouth, he didn't need to shoot her. She's at your office.
MAX                            => Uh-huh.
ORDELL                         => By herself. That big mandingo nigga Winston ain't there, is he?
MAX                            => She's all alone.
ORDELL                         => I call your office, she better answer the phone.
MAX                            => She will.
JACKIE                         => I'll be here. Se ya' in a bit.
ORDELL                         => All the time I've known her, I never heard her sound scared like that. Ordinarily she's too cool for school. I'm driving, gimme the keys.
MAX                            => It's the next street.
ORDELL                         => I know where it is.
MAX                            => Turn left.
ORDELL                         => I know where to turn.
ORDELL                         => My money's in that office, right?
MAX                            => Uh-huh.
ORDELL                         => She starts givin' me some bullshit about it ain't there. It's somewhere else and we can go get it.  I'm shootin' you in the head right then and there. Then I'm gonna shoot her in the kneecap, find out where my godamn money is. I go walkin' in there and that nigga Winston or anybody else is in there, you're the first man shot, understand what I'm sayin'?
MAX                            => Yeah.
ORDELL                         => Now, is there anything you want to tell me before we get out of this car?
MAX                            => No.
ORDELL                         => You sure?
MAX                            => Yes.
ORDELL                         => You better be, motherfucker.
ORDELL                         => Get ahead of me and open the door.
ORDELL                         => Step inside easy.
ORDELL                         => Hey, girl, what the hell you sitting in the goddamn dark for?
JACKIE                         => Mark...  ... he's got a gun!
DARGUS                         => He's dead.
DARGUS                         => Does he have the marked bills on him?
MAX                            => In his inside coat pocket.
DARGUS                         => Why were you with him?
MAX                            => I went to give him his refund, so he wouldn't have to come here.
DARGUS                         => How'd you know where he was?
MAX                            => I found out.
DARGUS                         => And you didn't tell the Police?
MAX                            => I told Jackie, and Jackie said you wanted him.
JACKIE                         => Remember when Ray said you hoped you'd get him before he got me?
JACKIE                         => Well, you did. Thank you.
JACKIE                         => Knock knock.
JACKIE                         => Hey.
JACKIE                         => Mark... he's got a gun!
MAX                            => Hey, you.
JACKIE                         => I got your package. It was fun getting a half-a-million dollars in the mail.
MAX                            => Less ten percent.
JACKIE                         => Yeah, your fee. I had to figure that out, since there wasn't no note.
JACKIE                         => Only this isn't a bail bond, Max.
MAX                            => I hesitated taking that much.
JACKIE                         => You worked for it - if you're sure that's all you want.
MAX                            => I'm sure.
JACKIE                         => I'm leaving, I have my things in my car. Why don't you walk out with me? I want to show you something.
JACKIE                         => Come on, Max. I won't hurt you.
JACKIE                         => I saw Ray the other day. Boy is he pissed he missed all the excitement.
MAX                            => What's he doing?
JACKIE                         => He's on to a new thing. He's after a guy who owns a gun shop he says is "woefully and wantonly" selling assault rifles to minors. He says he's gonna take him down if it's the last thing he does.
MAX                            => Did you tell him you were leaving?
JACKIE                         => I told him I might.
MAX                            => That's Ordell's.
JACKIE                         => They've confiscated all his other stuff. But this one's sorta left over. The registration's in the glove box, the keys were under the seat... What's a matter" haven't you ever borrowed someone's car?
MAX                            => Not after they're dead.
JACKIE                         => I didn't use you, Max.
MAX                            => I didn't say you did.
JACKIE                         => I never lied to you.
MAX                            => I know.
JACKIE                         => We're partners.
MAX                            => I'm fifty-five-years old. I can't blame anybody for anything I do.
JACKIE                         => Do you blame yourself for helping me?
JACKIE                         => 'd feel a whole lot better if you took some more money.
MAX                            => You'll get over that.
MAX                            => Where're you going?
JACKIE                         => Spain.
MAX                            => Madrid or Barcelona?
JACKIE                         => Start off in Madrid. Ever been there?
JACKIE                         => I hear they don't eat dinner till midnight.
JACKIE                         => Wanna go?
MAX                            => Thanks, but you have a good time.
JACKIE                         => Sure I can't twist your arm?
MAX                            => Thank you for saying that, but no. My business.
JACKIE                         => I thought you were tired of your business?
MAX                            => I'm just tired in general.
JACKIE                         => Are you scared of me?
MAX                            => A little bit.
JACKIE                         => Come over here.
JACKIE                         => I'll send you a postcard, partner.
